source,HCODE,SIGUNGU,EUPMYEON,name,address,type_name,type_code,assigned_pop,capacity_est,p_elderly,p_child,vuln,pressure,priority,lat,lon
통합,4817038000,진주시,사봉면,방촌마을경노회관,"경상남도 진주시 사봉면 지사로 158 , 방촌마을 경노회관",한파쉼터,1,1349.0,3908.0,0.5670867309117865,0.014825796886582653,0.4014084507042253,0.3451893551688843,186.92003582395085,35.19692,128.25182
민방위,4128162100,고양시 덕양구,화정1동,,,,,3893.0,12538.0,0.20618792099554745,0.034164859002169194,0.15458100239753395,0.3104960918806827,186.85153120152364,37.643406,126.835711
통합,5274025000,장수군,장수읍,장수농협북부지소,전북특별자치도 장수군 장수읍 장천로 201,한파쉼터,1,1727.0,3908.0,0.32445345301867673,0.046329810337338934,0.2410163602142754,0.44191402251791195,183.94019544870076,35.6503445,127.5188577
통합,5274025000,장수군,장수읍,장수군청휴게실,전북특별자치도 장수군 장수읍 교촌로 59 ,한파쉼터,1,1727.0,3908.0,0.32445345301867673,0.046329810337338934,0.2410163602142754,0.44191402251791195,183.94019544870076,35.6474133,127.5211385
통합,5274025000,장수군,장수읍,장수농협,전북특별자치도 장수군 장수읍 장천로 164,한파쉼터,1,1727.0,3908.0,0.32445345301867673,0.046329810337338934,0.2410163602142754,0.44191402251791195,183.94019544870076,35.6468499,127.518497
통합,5274025000,장수군,장수읍,NH농협은행장수군지부,전북특별자치도 장수군 장수읍 호비로 9 ,한파쉼터,1,1727.0,3908.0,0.32445345301867673,0.046329810337338934,0.2410163602142754,0.44191402251791195,183.94019544870076,35.6470527,127.5205985
민방위,4128753000,고양시 일산서구,일산3동,,,,,4757.0,14368.0,0.1371812967356377,0.06297486411003334,0.11491936694795639,0.33108296213808464,180.99359588768692,37.677808,126.771553
통합,5177036000,정선군,화암면,화암면공영버스정류장,강원특별자치도 정선군 화암면 그림바위길 65 ,한파쉼터,1,1491.0,3908.0,0.44802146210596916,0.01341381623071764,0.31763916834339373,0.381525076765609,180.6902763561924,37.3382018,128.788882
민방위,3014068000,중구,태평1동,,,,,2018.0,3830.0,0.21704658077304262,0.05508754542451272,0.16845887016848365,0.5268929503916449,179.11725848563967,36.331117,127.398983
통합,5273035000,무주군,부남면,무주농협부남지점,전북특별자치도 무주군 부남면 부남로 866-2 ,한파쉼터,1,1343.0,3908.0,0.5420699925539836,0.011913626209977662,0.3830230826507818,0.343654042988741,176.77563971340837,35.9723191,127.5596398
민방위,4128753000,고양시 일산서구,일산3동,,,,,4757.0,14972.0,0.1371812967356377,0.06297486411003334,0.11491936694795639,0.31772642265562384,173.6919573680394,37.682325,126.766558
통합,4822037000,통영시,사량면,먹방경로당,경상남도 통영시 사량면하도일주로 1281 먹방경로당 ,한파쉼터,1,1336.0,3908.0,0.532185628742515,0.008233532934131737,0.37499999999999994,0.34186284544524054,171.2732855680655,34.832775,128.239379
통합,4415032000,공주시,탄천면,남산1리경로당,"충청남도 공주시 탄천면 금백로 1232 , 남산1리경로당",한파쉼터,1,1334.0,3908.0,0.5284857571214393,0.01649175412293853,0.374887556221889,0.3413510747185261,170.7096724667349,36.2985594,127.0380661
통합,4415032000,공주시,탄천면,남산1리(여),충청남도 공주시 탄천면 금백로 1232 ,한파쉼터,1,1334.0,3908.0,0.5284857571214393,0.01649175412293853,0.374887556221889,0.3413510747185261,170.7096724667349,36.2985574,127.0380718
민방위,4128162100,고양시 덕양구,화정1동,,,,,3893.0,14000.0,0.20618792099554745,0.034164859002169194,0.15458100239753395,0.2780714285714286,167.33889272890738,37.642247,126.830831
통합,5218040000,정읍시,감곡면,신태인농협(감곡)유정지점,전북특별자치도 정읍시 감곡면 유정길 14,한파쉼터,1,1284.0,3908.0,0.5465523957927542,0.02103622906116089,0.3888975457732761,0.3285568065506653,164.0630174576219,35.7323705,126.8989557
통합,5218040000,정읍시,감곡면,신태인농협감곡지점,전북특별자치도 정읍시 감곡면 원삼1길 13,한파쉼터,1,1284.0,3908.0,0.5465523957927542,0.02103622906116089,0.3888975457732761,0.3285568065506653,164.0630174576219,35.7135591,126.9269458
통합,4679035000,화순군,능주면,관영리여자경로당,전라남도 화순군 능주면정변길 22,한파쉼터,1,1434.0,3908.0,0.43290345067967934,0.02718717323109097,0.3111885674451028,0.3669396110542477,163.74474866866476,34.988178,126.960492
통합,4679035000,화순군,능주면,잠정리여자경로당(1층),전라남도 화순군 능주면학샘길 15,한파쉼터,1,1434.0,3908.0,0.43290345067967934,0.02718717323109097,0.3111885674451028,0.3669396110542477,163.74474866866476,34.9872537,126.9571637
통합,5218054500,정읍시,시기동,청수경로당,전북특별자치도 정읍시 청수1길 5-6 (시기동),한파쉼터,1,1498.0,3908.0,0.38238238238238237,0.03403403403403404,0.2778778778778779,0.38331627430910953,159.55963906588266,35.5650029,126.8509349
통합,5218054500,정읍시,시기동,대흥노휴제,전북특별자치도 정읍시 대흥2길 11 (시기동),한파쉼터,1,1498.0,3908.0,0.38238238238238237,0.03403403403403404,0.2778778778778779,0.38331627430910953,159.55963906588266,35.5678605,126.8468785
통합,3117056000,동구,전하2동,우리은행동울산지점,울산광역시 동구 전하로 3,한파쉼터,1,6348.0,36785.0,0.1792784750301948,0.06333035761172084,0.1444940398046526,0.17257034117167325,158.28982871790748,35.5121309,129.4302836
통합,3117056000,동구,전하2동,신한은행전하동,울산광역시 동구 방어진순환도로 785,한파쉼터,1,6348.0,36785.0,0.1792784750301948,0.06333035761172084,0.1444940398046526,0.17257034117167325,158.28982871790748,35.5118234,129.4303514
통합,3117056000,동구,전하2동,방어진농협전하지점,울산광역시 동구 진성3길 56 (무지개상가 가동),한파쉼터,1,6348.0,36785.0,0.1792784750301948,0.06333035761172084,0.1444940398046526,0.17257034117167325,158.28982871790748,35.510463,129.426395
통합,4376041000,괴산군,불정면,현동경로당,충청북도 괴산군 불정면 웅동로2길 1 ,한파쉼터,1,1308.0,3908.0,0.5049694189602446,0.014143730886850153,0.3577217125382262,0.33469805527123847,156.60522006141244,36.9035069,127.8112534
통합,4376041000,괴산군,불정면,석정경로당,충청북도 괴산군 불정면지장길 162-2,한파쉼터,1,1308.0,3908.0,0.5049694189602446,0.014143730886850153,0.3577217125382262,0.33469805527123847,156.60522006141244,36.863191,127.821448
통합,4690031000,진도군,군내면,덕병경로당,전라남도 진도군 군내면 덕병길 146-4 ,한파쉼터,1,1380.0,3908.0,0.4467391304347826,0.02717391304347826,0.32086956521739124,0.353121801432958,156.36233367451376,34.5295191,126.2749068
통합,4690031000,진도군,군내면,죽전경로당,전라남도 진도군 군내면 죽전길 39 ,한파쉼터,1,1380.0,3908.0,0.4467391304347826,0.02717391304347826,0.32086956521739124,0.353121801432958,156.36233367451376,34.5698027,126.2730441
민방위,4128753000,고양시 일산서구,일산3동,,,,,4757.0,16670.0,0.1371812967356377,0.06297486411003334,0.11491936694795639,0.2853629274145171,155.99975919101894,37.675217,126.769822
통합,5219057000,남원시,향교동,율치마을노인시설,전북특별자치도 남원시 율치길 25,한파쉼터,1,1603.0,3908.0,0.31872758459379386,0.03820364883829721,0.23457040386714487,0.4101842374616172,154.23598283281737,35.450391,127.3732614
통합,5219057000,남원시,향교동,모정,전북특별자치도 남원시 갈음다리길 24-1,한파쉼터,1,1603.0,3908.0,0.31872758459379386,0.03820364883829721,0.23457040386714487,0.4101842374616172,154.23598283281737,35.4367988,127.3760521
통합,5219057000,남원시,향교동,재실마을노인시설,전북특별자치도 남원시 재실길 25 (내척동),한파쉼터,1,1603.0,3908.0,0.31872758459379386,0.03820364883829721,0.23457040386714487,0.4101842374616172,154.23598283281737,35.43802,127.3625499
통합,5219057000,남원시,향교동,중앙하이츠아파트노인시설,전북특별자치도 남원시 동림로 129,한파쉼터,1,1603.0,3908.0,0.31872758459379386,0.03820364883829721,0.23457040386714487,0.4101842374616172,154.23598283281737,35.4178394,127.3819156
통합,4678032000,보성군,미력면,춘정여자경로당,전라남도 보성군 미력면 미력춘정길 13 ,한파쉼터,1,1294.0,3908.0,0.5054095826893354,0.01777434312210201,0.3591190108191654,0.33111566018423744,153.86944728761515,34.8184885,127.0960139
통합,4159037000,화성시,장안면,장안9리경로당,경기도 화성시 장안면 장안리 69-1,한파쉼터,1,1565.0,3908.0,0.33588924387646435,0.025985090521831736,0.24291799787007454,0.40046059365404296,152.24176902081197,37.0579084,126.8638945
통합,4159037000,화성시,장안면,덕다1리경로당,경기도 화성시 장안면 덕다길 123-2 ,한파쉼터,1,1565.0,3908.0,0.33588924387646435,0.025985090521831736,0.24291799787007454,0.40046059365404296,152.24176902081197,37.0577821,126.8400094
통합,4159037000,화성시,장안면,장안면행정복지센터,경기도 화성시 장안면 수정로 171,한파쉼터,1,1565.0,3908.0,0.33588924387646435,0.025985090521831736,0.24291799787007454,0.40046059365404296,152.24176902081197,37.0816392,126.8604032
통합,4159037000,화성시,장안면,"장안1,2리할아버지경로당",경기도 화성시 장안면 상두원길 73-8 ,한파쉼터,1,1565.0,3908.0,0.33588924387646435,0.025985090521831736,0.24291799787007454,0.40046059365404296,152.24176902081197,37.0398278,126.8542117
통합,4159037000,화성시,장안면,석포1리경로당,경기도 화성시 장안면 돌서지길 27,한파쉼터,1,1565.0,3908.0,0.33588924387646435,0.025985090521831736,0.24291799787007454,0.40046059365404296,152.24176902081197,37.1408766,126.8311394
통합,4159037000,화성시,장안면,"장안1,2리할머니경로당",경기도 화성시 장안면 상두원길 79,한파쉼터,1,1565.0,3908.0,0.33588924387646435,0.025985090521831736,0.24291799787007454,0.40046059365404296,152.24176902081197,37.0402486,126.8539514
통합,5213036000,군산시,개정면,월령경로당,전북특별자치도 군산시 개정면 최호장군길 128-4,한파쉼터,1,1348.0,3908.0,0.4599406528189911,0.017804154302670624,0.3272997032640949,0.34493346980552714,152.18464687819855,35.967669,126.793413
통합,5213036000,군산시,개정면,율북경로당,전북특별자치도 군산시 개정면 아동남로 16,한파쉼터,1,1348.0,3908.0,0.4599406528189911,0.017804154302670624,0.3272997032640949,0.34493346980552714,152.18464687819855,35.96405,126.767658
통합,3117052000,동구,일산동,방어진농협본점,울산광역시 동구 방어진순환도로 685,한파쉼터,1,5093.0,36785.0,0.29648537207932457,0.026310622422933437,0.21543294718240721,0.13845317384803588,151.91082234606498,35.5030156,129.4289076
통합,4681036000,강진군,성전면,신풍경로당,전라남도 강진군 성전면 영풍리 1016-4,한파쉼터,1,1286.0,3908.0,0.4972783825816485,0.027216174183514776,0.35625972006220835,0.32906857727737976,150.7627686796315,34.7201974,126.7096674
통합,4681036000,강진군,성전면,월산경로당,전라남도 강진군 성전면 월평리 252-2,한파쉼터,1,1286.0,3908.0,0.4972783825816485,0.027216174183514776,0.35625972006220835,0.32906857727737976,150.7627686796315,34.6914595,126.6912594
통합,5013054000,서귀포시,천지동,천지동경로당,제주특별자치도 서귀포시 서문로 37,한파쉼터,1,1676.0,3908.0,0.28051327961802447,0.03879438973440764,0.20799761265293942,0.428863868986694,149.50365967231403,33.249619,126.558452
통합,5013054000,서귀포시,천지동,천지동주민센터,제주특별자치도 서귀포시 중정로47번길 3 (서귀동),한파쉼터,1,1676.0,3908.0,0.28051327961802447,0.03879438973440764,0.20799761265293942,0.428863868986694,149.50365967231403,33.2478087,126.5612903
